id,name,close_approach_date,diameter_km,velocity_kmh,miss_distance_km,is_hazardous
3825491,(2018 MJ7),2025-02-22,0.1386883492,51903.8209074406,52129708.581193961,False
3838888,(2019 EO),2025-02-22,0.1374168468,39641.6771672062,47266886.60680301,False
54291601,(2022 OT1),2025-02-22,0.0529712204,62832.4357683416,57597444.487757125,False
54341550,(2023 CK2),2025-02-22,0.1729975604,88545.667163355,37384908.814809044,False
54519356,(2025 CY3),2025-02-22,0.0660754271,28495.1556298366,4695153.055689626,False
54520039,(2025 DU),2025-02-22,0.0154255259,31198.4476748356,1312216.580996407,False
54520165,(2025 DK1),2025-02-22,0.0054030623,55551.3868297742,150543.238779678,False
54520167,(2025 DM1),2025-02-22,0.068649911,52894.5736486784,8596580.129785217,False
54520173,(2025 DS1),2025-02-22,0.0052268493,14201.5812337201,154713.458923372,False
2427684,427684 (2004 DH2),2025-02-21,0.5200438667,92980.2027990632,61949986.691438524,False
3092144,(1996 BG1),2025-02-21,0.1071617948,73202.3231498896,57070250.0000422,False
3599405,(2012 DZ),2025-02-21,0.0358129403,60019.8460454743,1066006.641295541,False
3600563,(2012 EO3),2025-02-21,0.1506745763,80459.6076270749,71784376.967151667,False
3736497,(2015 XF261),2025-02-21,0.0529712204,29601.8218261245,43975800.322091113,False
3786458,(2017 UG),2025-02-21,0.0187948982,41696.4976201807,48115814.022909601,False
3825135,(2018 LV2),2025-02-21,0.0517654482,37475.9521001186,43476378.813579771,False
3843702,(2019 QE6),2025-02-21,0.3357685218,31437.2770190473,46470399.557161533,False
54123627,(2021 DU1),2025-02-21,0.099092316,65416.7021137099,25486594.143603626,False
54130507,(2021 EH2),2025-02-21,0.0348369383,34415.408566344,13381082.32346657,False
54166395,(2021 NG1),2025-02-21,0.1164233197,55526.1384171985,57289112.072806662,False
54203037,(2021 SP5),2025-02-21,0.0296510433,38881.7403630304,50945763.227769928,False
54520035,(2025 DQ),2025-02-21,0.0060261506,24098.2569331672,299238.659628903,False
54520040,(2025 DV),2025-02-21,0.0346290023,37864.1450613665,4168098.920696335,False
2522684,522684 (2016 JP),2025-02-20,0.3532156834,36843.6655011146,49700579.357950341,True
3435023,(2008 UB95),2025-02-20,0.0651688382,79385.8164954934,65360740.665661438,False
3599931,(2012 DV32),2025-02-20,0.2594418179,26286.0442937726,29453384.910319808,False
3740096,(2016 AX165),2025-02-20,0.1399716167,33088.6506212455,5724655.527857756,False
3745060,(2016 ET1),2025-02-20,0.0098637028,14823.7380741109,9170110.852316924,False
3989813,(2020 CX1),2025-02-20,0.0887237683,24798.8592194701,17238026.515797022,False
54153128,(2021 LO),2025-02-20,0.2089488469,67941.3711504143,15682916.819234241,False
54212701,(2021 UH2),2025-02-20,0.0559809132,13198.1943654908,15375638.590554094,False
54439707,(2024 JK1),2025-02-20,0.0309057992,33306.8304167008,64067162.677765562,False
54520036,(2025 DR),2025-02-20,0.0605396602,112274.4752060389,4726711.234998884,False
